유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
청주오송유적,직기형,33,17,3,16,3.1
청주오송유적,연미형,23,12,2.3,11,2.6
청주오송유적,연미형,26,17,2.5,10,3
청주오송유적,직기형,21,12,2.5,9,3
청주오송유적,연미형,23,11,1.3,12,2.9
청주오송유적,직기형,22,11,2.7,11,3.2
청주오송유적,연미형,23,10,2,14,2.4
청주오송유적,직기형,28,13,1.6,15,3
청주오송유적,직기형,28,17,3.1,12,3.2
청주오송유적,연미형,31,18,2.4,13,2.7
청주오송유적,직기형,29,19,4.7,10,3.5
청주오송유적,직기형,23,9,2.5,14,2.9
청주오송유적,직기형,40,22,3,18,3.8
청주오송유적,직기형,21,10,2,11,2.9
청주 외북동유적,직기형,35,21,2.6,14,3
청주 문암동유적,연미형,26,13,2.5,14,3
청주 문암동유적,연미형,24,9,1.7,15,2.7
청주 문암동유적,직기형,29,15,2.5,14,2.6
청주 문암동유적,직기형,26,16,4.9,11,3.8
충주문성리문암 유적,직기형,21,10,2.1,11,2.8
충주문성리문암 유적,직기형,24,10,2.1,14,2.8
충주문성리문암 유적,직기형,31,19,3.1,12,3.5
충주 장태산유적,직기형,19,9,1.7,10,2.9
공주 덕지리유적,연미형,25,11,2.2,14,3
공주 수촌리유적(07),연미형,30,14,1.7,16,3.1
공주수촌리고분군 Ⅵ,연미형,19,7,1.5,11,2.9
공주 신관동78번지 외,연미형,23,10,2,13,3
공주 신관동78번지 외,연미형,23,10,1.5,13,3
공주신영리 여드니유적,연미형,22,12,1.8,10,2.9
"공주제천리, 당암리유적",연미형,28,13,2,15,3.1
대전 대정동유적,직기형,40,27,4.2,13,3.7
대전 용산동유적,연미형,25,10,1.4,14,3.2
서산 부장리유적,연미형,22,10,1.9,12,3.4
서산 부장리유적,연미형,27,11,1.6,16,3.2
서산여미리 방죽골유적,직기형,37,26,4.4,11,3
서산여미리 방죽골유적,연미형,28,16,2.7,12,3
서산여미리 방죽골유적,연미형,18,7,2.4,12,2.4
서산 예천동유적,연미형,26,14,2.7,12,2.9
서천 봉선리유적(05),연미형,31,14,2.4,17,2.8
서천 봉선리유적(05),연미형,19,8,1.5,11,2.5
세종도계리,직기형,28,11,1.8,18,2.6
아산 갈산리유적,직기형,24,12,2.6,12,3
아산 갈산리유적,직기형,22,10,2.3,11,2.7
아산 갈산리유적,직기형,27,11,2.4,16,2.5
아산 갈산리유적,직기형,34,16,2.9,18,3
아산명암리밖지므레 유적,직기형,28,14,2.7,14,3
아산명암리밖지므레 유적,직기형,21,11,2,10,2.6
아산명암리밖지므레 유적,직기형,20,7,1.7,13,2.6
아산명암리밖지므레 유적,직기형,32,14,2.7,18,2.9
아산 북수리유적,연미형,29,12,2.3,17,2.6
아산 북수리유적,연미형,22,10,1.7,12,3.5
아산 북수리유적,연미형,26,10,1.6,16,2.7
아산 북수리유적,연미형,23,9,1.6,14,2.5
아산 북수리유적,연미형,23,12,2.3,11,2.2
아산 북수리유적,직기형,30,18,2.8,12,3.1
아산 북수리유적,연미형,33,16,2.4,17,2.5
아산 행승리유적,직기형,27,16,3.7,11,3
연기 대평리유적,연미형,21,15,1.8,6,2
연기 대평리유적,연미형,21,9,2.4,12,2.9
연기 대평리유적,직기형,26,9,1.5,17,2.8
연기 대평리유적,연미형,27,13,3,13,2.9
연기 대평리유적,연미형,29,14,2.5,15,3
연기 송담리유적,직기형,19,10,1.5,9,1.9
연기 송담리유적,직기형,21,9,1.6,12,2.9
연기 송담리유적,직기형,32,21,3.5,11,3
연기 송담리유적,직기형,40,18,3.1,22,3.5
연기 송담리유적,직기형,23,9,1.9,14,3.4
연기 송담리유적,직기형,23,11,2,12,3.5
연기 송담리유적,연미형,18,9,2.4,9,2.7
연기 송담리유적,연미형,26,13,2,13,2.6
연기 송담리유적,직기형,27,11,1.3,16,2.8
연기송원리 만자동유적,연미형,24,12,1.4,12,3.2
연기 송원리유적,연미형,18,5,1.4,13,3.2
연기 송원리유적,연미형,23,8,1.7,14,2.8
연기 송원리유적,연미형,27,11,1.9,16,2.7
연기 송원리유적,연미형,26,9,1.7,17,3.1
연기 송원리유적,직기형,21,9,1.9,12,2.6
연기 송원리유적,연미형,18,8,1.6,10,3.6
연기 송원리유적,연미형,26,14,1.9,13,3.5
연기 송원리유적,직기형,24,12,1.8,12,2.8
천안 도림리유적,연미형,27,12,2,16,3
천안 도림리유적,연미형,24,9,1.8,15,3.1
천안용원리고분군,연미형,27,13,2.1,15,3.2
천안용원리고분군,연미형,23,12,1.6,12,3.1
천안용원리고분군,연미형,23,11,1.5,12,2.7
천안용원리고분군,연미형,24,10,2,14,2.7
천안용원리고분군,연미형,21,8,1.8,13,2.8
천안용원리고분군,연미형,22,10,1.3,12,2.8
천안용원리고분군,연미형,23,11,1.4,12,2.4
천안용원리고분군,연미형,33,14,2.2,18,3.3
천안용원리고분군,연미형,21,11,1.6,10,3.3
천안 정촌리유적,직기형,36,20,3.2,15,3.2
천안화성리백제묘,연미형,23,13,2.4,11,3.1
고창 봉덕리1호분,직기형,22,10,1.6,12,2.4
부안 죽막동유적,연미형,26,13,2.4,13,3.5
부안 죽막동유적,연미형,23,12,2,11,3.2
부안 죽막동유적,연미형,21,9,1.9,12,3.1
부안 죽막동유적,연미형,18,9,1.6,10,3.1
부안 죽막동유적,연미형,17,8,1.8,9,3
완주 상운리유적,연미형,36,21,2.5,15,3.1
완주 상운리유적,연미형,28,13,2.6,15,3.3
완주 상운리유적,직기형,21,10,2,11,2.5
완주 상운리유적,연미형,26,14,2,12,3
완주 상운리유적,연미형,26,14,2.4,12,3.1
완주 상운리유적,연미형,23,10,2.6,12,4.3
완주 상운리유적,연미형,24,11,1.8,13,3.2
완주 상운리유적,연미형,21,10,1.6,11,3.1
완주수계리 유적Ⅰ,연미형,25,13,1.5,12,2.9
완주수계리 유적Ⅰ,연미형,26,14,2.1,12,3.6
완주수계리 유적Ⅰ,연미형,22,8,2.1,12,3.6
완주수계리 유적Ⅰ,직기형,21,10,2.1,11,2.9
완주수계리 유적Ⅰ,직기형,27,14,1.6,13,2.7
완주수계리 유적Ⅰ,연미형,28,13,2.3,14,2.7
완주 수계리유적Ⅱ(완주 신기B 1구역),직기형,24,12,2.3,12,2.7
전주마전 유적(Ⅳ),연미형,24,13,1.8,11,3.5
군산 산월리유적,연미형,30,16,1.8,14,3
전주장동유적 Ⅱ,연미형,35,21,2.4,15,4.2
고흥야막고분,연미형,22,10,1.9,12,2.3
고흥야막고분,연미형,21,8,1.6,13,2.8
나주 구기촌유적,직기형,28,14,3,14,3.6
나주정촌 고분,직기형,26,13,2,12,2.8
나주화정리 마산고분군,연미형,27,13,1.8,14,2.7
순천 검단산성,직기형,25,15,1.9,10,2.5
순천 검단산성,직기형,21,10,1.6,11,3
신안대리 배널리고분군,연미형,31,15,2.8,17,3.3
영암신연리고분군,연미형,24,10,1.8,14,2.9
함평 마산리표산 유적(Ⅲ지구),연미형,24,12,1.9,13,3
함평 마산리표산 유적(Ⅳ지구),연미형,27,16,2.6,11,3
함평 마산리표산 유적(Ⅳ지구),연미형,29,15,2.2,13,2.9
함평예덕리신덕 고분,직기형,31,15,1.5,16,3
함평예덕리신덕 고분,직기형,30,15,1.9,15,3.3
함평예덕리신덕 고분,직기형,31,14,2,17,3
해남월송리조산 고분,직기형,32,17,1.6,16,2.4
해남월송리조산 고분,직기형,25,7,1.6,18,2.3
