국가,유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
백제,평택해창리Ⅴ유적,연미형,24,13,2.7,12,2.8
백제,하남덕풍동 수리골유적,연미형,30,14,2,16,3
백제,화성마하리고분군,연미형,20,10,1.5,10,2.7
백제,화성 요리고분군,연미형,23,12,2,11,2.9
백제,증평 화성리유적,연미형,30,14,2,16,3.4
백제,청원 갈산리유적,연미형,32,16,1.7,16,3.5
백제,청원 갈산리유적,연미형,22,11,2,11,3.1
백제,청원 갈산리유적,연미형,20,9,1.7,11,2.8
백제,청원 갈산리유적,연미형,20,9,1.3,10,3
백제,청원 갈산리유적,직기형,19,9,2,10,3
백제,청원 갈산리유적,직기형,23,12,1.7,11,3.5
백제,청원송대리유적(오창Ⅰ),직기형,30,15,2.8,15,3.3
백제,청원송대리유적(오창Ⅰ),연미형,30,15,1.9,16,3
백제,청원 주성리유적,연미형,28,14,2,14,3.1
백제,청원 주성리유적,연미형,44,29,1.8,15,3.1
백제,청원 주성리유적,연미형,20,10,1.8,11,2.7
백제,청주 가경4지구유적,연미형,25,13,1.9,12,3.2
백제,청주미평동 195-1번지,직기형,29,16,2.5,14,3
백제,청주 봉명동유적,연미형,21,11,1.7,11,2.1
백제,청주 봉명동유적,연미형,16,8,1.9,8,2.2
백제,청주산남동 42-6번지유적,연미형,25,11,2.4,14,2.9
백제,청주송절동 407번지유적,연미형,25,18,2.2,7,2.4
백제,청주송절동 유적Ⅱ,직기형,27,13,1.7,15,2.8
백제,청주송절동 유적Ⅱ,직기형,28,12,2.2,16,2.9
백제,청주 신봉동유적(83),연미형,23,11,1.4,13,2.7
백제,청주 신봉동유적(83),직기형,17,8,2.6,8,3
백제,청주신봉동고분군(95),연미형,21,8,1.7,13,2.7
백제,청주오송유적,직기형,20,9,1.8,11,2.5
백제,청주오송유적,직기형,29,16,2.7,13,3
백제,청주오송유적,직기형,29,16,2.8,12,3.3
백제,청주오송유적,연미형,34,20,2.7,14,2.8
백제,청주오송유적,연미형,24,13,1.8,11,2.7
백제,청주오송유적,직기형,28,14,2.3,14,2.9
백제,청주오송유적,연미형,22,9,2.3,13,2.4
백제,청주오송유적,직기형,24,10,2.4,14,2.9
백제,청주오송유적,연미형,30,16,2.3,14,3.4
백제,청주오송유적,연미형,26,14,2.1,12,3
백제,청주오송유적,직기형,33,17,3,16,3.1
백제,청주오송유적,연미형,23,12,2.3,11,2.6
백제,청주오송유적,연미형,26,17,2.5,10,3
백제,청주오송유적,직기형,21,12,2.5,9,3
백제,청주오송유적,연미형,23,11,1.3,12,2.9
백제,청주오송유적,직기형,22,11,2.7,11,3.2
백제,청주오송유적,연미형,23,10,2,14,2.4
백제,청주오송유적,직기형,28,13,1.6,15,3
백제,청주오송유적,직기형,28,17,3.1,12,3.2
백제,청주오송유적,연미형,31,18,2.4,13,2.7
백제,청주오송유적,직기형,29,19,4.7,10,3.5
백제,청주오송유적,직기형,23,9,2.5,14,2.9
백제,청주오송유적,직기형,40,22,3,18,3.8
백제,청주오송유적,직기형,21,10,2,11,2.9
백제,청주 외북동유적,직기형,35,21,2.6,14,3
백제,청주 문암동유적,연미형,26,13,2.5,14,3
백제,청주 문암동유적,연미형,24,9,1.7,15,2.7
백제,청주 문암동유적,직기형,29,15,2.5,14,2.6
백제,청주 문암동유적,직기형,26,16,4.9,11,3.8
백제,충주문성리문암 유적,직기형,21,10,2.1,11,2.8
백제,충주문성리문암 유적,직기형,24,10,2.1,14,2.8
백제,충주문성리문암 유적,직기형,31,19,3.1,12,3.5
백제,충주 장태산유적,직기형,19,9,1.7,10,2.9
백제,공주 덕지리유적,연미형,25,11,2.2,14,3
백제,공주 수촌리유적(07),연미형,30,14,1.7,16,3.1
백제,공주수촌리고분군 Ⅵ,연미형,19,7,1.5,11,2.9
백제,공주 신관동78번지 외,연미형,23,10,2,13,3
백제,공주 신관동78번지 외,연미형,23,10,1.5,13,3
백제,공주신영리 여드니유적,연미형,22,12,1.8,10,2.9
백제,"공주제천리, 당암리유적",연미형,28,13,2,15,3.1
백제,대전 대정동유적,직기형,40,27,4.2,13,3.7
백제,대전 용산동유적,연미형,25,10,1.4,14,3.2
백제,서산 부장리유적,연미형,22,10,1.9,12,3.4
백제,서산 부장리유적,연미형,27,11,1.6,16,3.2
백제,서산여미리 방죽골유적,직기형,37,26,4.4,11,3
백제,서산여미리 방죽골유적,연미형,28,16,2.7,12,3
백제,서산여미리 방죽골유적,연미형,18,7,2.4,12,2.4
백제,서산 예천동유적,연미형,26,14,2.7,12,2.9
백제,서천 봉선리유적(05),연미형,31,14,2.4,17,2.8
백제,서천 봉선리유적(05),연미형,19,8,1.5,11,2.5
백제,세종도계리,직기형,28,11,1.8,18,2.6
백제,아산 갈산리유적,직기형,24,12,2.6,12,3
백제,아산 갈산리유적,직기형,22,10,2.3,11,2.7
백제,아산 갈산리유적,직기형,27,11,2.4,16,2.5
백제,아산 갈산리유적,직기형,34,16,2.9,18,3
백제,아산명암리밖지므레 유적,직기형,28,14,2.7,14,3
백제,아산명암리밖지므레 유적,직기형,21,11,2,10,2.6
백제,아산명암리밖지므레 유적,직기형,20,7,1.7,13,2.6
